f__objectid,발생년,발생월,발생일,발생시,발생날짜,발생분,주야,요일,dead,cnt,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,col1,사고유형_중분류,acc,acc1,법규위반_대분류,law,law1,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,경도,위도,x,y
205,2017,3,1,5,2017년 3월 1일 수요일,15,야간,수,1,1,0,0,0,서울,강동구,차대사람,0,보도통행중,보도통행중,보도통행중,운전자법규위반,"""과속""","""과속""",교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,127.1290844,37.53707988,127.1290849,37.53708305
156,2017,2,12,6,2017년 2월 12일 일요일,29,주간,일,1,1,0,0,0,서울,서초구,차대사람,0,차도통행중,차도통행중,차도통행중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.0191664,37.51596404,127.0191671,37.51596668
374,2017,5,1,0,2017년 5월 1일 월요일,30,야간,월,1,3,1,1,0,서울,구로구,차대사람,0,차도통행중,차도통행중,차도통행중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,이륜차,이륜차,보행자,보행자,126.8954147,37.47838583,126.8954152,37.47838557
467,2017,6,2,3,2017년 6월 2일 금요일,45,야간,금,1,2,1,0,0,서울,용산구,차대사람,0,차도통행중,차도통행중,차도통행중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.9616659,37.52153781,126.9616659,37.52153845
1158,2017,12,17,2,2017년 12월 17일 일요일,28,야간,일,1,3,0,2,0,서울,서초구,차대사람,0,차도통행중,차도통행중,차도통행중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.040653,37.46273408,127.0406548,37.46273605
155,2017,2,12,2,2017년 2월 12일 일요일,40,야간,일,1,1,0,0,0,서울,광진구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",교차로,교차로내,승용차,승용차,보행자,보행자,127.087259,37.56221774,127.0872594,37.56221685
203,2017,3,1,1,2017년 3월 1일 수요일,15,야간,수,1,3,2,0,0,서울,강남구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.0341228,37.50007897,127.034124,37.50007559
311,2017,4,7,23,2017년 4월 7일 금요일,35,야간,금,1,1,0,0,0,서울,마포구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.9479643,37.54097168,126.9479666,37.54097226
314,2017,4,9,2,2017년 4월 9일 일요일,27,야간,일,1,1,0,0,0,서울,강동구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",기타,기타,승용차,승용차,보행자,보행자,127.1373057,37.53421477,127.1373045,37.53421232
598,2017,7,11,23,2017년 7월 11일 화요일,37,야간,화,1,1,0,0,0,서울,영등포구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,이륜차,이륜차,보행자,보행자,126.8966979,37.52133287,126.8966998,37.52133183
946,2017,10,17,0,2017년 10월 17일 화요일,17,야간,화,1,1,0,0,0,서울,마포구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.9079127,37.56425772,126.9079107,37.56426051
977,2017,10,24,0,2017년 10월 24일 화요일,20,야간,화,1,1,0,0,0,서울,강남구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.0459612,37.4955732,127.0459638,37.49557132
1111,2017,12,3,4,2017년 12월 3일 일요일,12,야간,일,1,2,1,0,0,서울,용산구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.9896417,37.51955374,126.9896395,37.51955062
1191,2017,12,27,22,2017년 12월 27일 수요일,24,야간,수,1,1,0,0,0,서울,송파구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""과속""","""과속""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.0740522,37.51125332,127.0740541,37.51125672
4,2017,1,2,4,2017년 1월 2일 월요일,30,야간,월,1,1,0,0,0,서울,은평구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",교차로,교차로내,승용차,승용차,보행자,보행자,126.915444,37.61909675,126.9154476,37.619098
81,2017,1,20,10,2017년 1월 20일 금요일,26,주간,금,1,1,0,0,0,서울,영등포구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",교차로,교차로내,승용차,승용차,보행자,보행자,126.898331,37.50538728,126.8983347,37.50538488
186,2017,2,23,12,2017년 2월 23일 목요일,59,주간,목,1,1,0,0,0,서울,은평구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,126.9188359,37.63462549,126.9188342,37.63462225
207,2017,3,2,12,2017년 3월 2일 목요일,53,주간,목,1,2,0,1,0,서울,강동구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,자전거,자전거,보행자,보행자,127.1332227,37.53590572,127.1332262,37.5359077
628,2017,7,18,12,2017년 7월 18일 화요일,13,주간,화,1,2,1,0,0,서울,서초구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.9947765,37.50150363,126.9947778,37.50150094
737,2017,8,21,9,2017년 8월 21일 월요일,10,주간,월,1,1,0,0,0,서울,성북구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,승용차,승용차,보행자,보행자,127.0374663,37.61265275,127.0374658,37.61265114
767,2017,8,30,13,2017년 8월 30일 수요일,58,주간,수,1,1,0,0,0,서울,동대문구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,건설기계,건설기계,보행자,보행자,127.0447733,37.57751069,127.0447691,37.57751091
904,2017,10,2,5,2017년 10월 2일 월요일,2,야간,월,1,1,0,0,0,서울,서대문구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,승합차,승합차,보행자,보행자,126.9376194,37.58900965,126.937618,37.58900787
930,2017,10,13,17,2017년 10월 13일 금요일,0,주간,금,1,1,0,0,0,서울,양천구,차대사람,0,횡단중,11,횡단중,운전자법규위반,"""보행자 보호의무 위반""","""보행자 보호의무 위반""",단일로,기타단일로,승용차,승용차,보행자,보행자,126.871196,37.51527798,126.8711966,37.51527553
